title,total
Beauty Salons,110895
Beef Cattle Ranching and Farming,50307
Barber Shops,48291
All Other Personal Services,45761
"General Freight Trucking, Local",38820
Offices of Real Estate Agents and Brokers,38485
Corn Farming,37981
"General Freight Trucking, Long-Distance, Truckload",36803
Taxi Service,36172
Residential Remodelers,29735
Caterers,26577
Janitorial Services,26552
All Other Miscellaneous Store Retailers (except Tobacco Stores),26406
Landscaping Services,23412
Soybean Farming,22693
"Independent Artists, Writers, and Performers",17590
Marketing Consulting Services,17558
Administrative Management and General Management Consulting Services,16396
Home Health Care Services,16288
"All Other Professional, Scientific, and Technical Services",15575
New Single-Family Housing Construction (except For-Sale Builders),14918
Other Management Consulting Services,14557
All Other Grain Farming,14435
Offices of Lawyers,14007
Oilseed and Grain Combination Farming,13975
Offices of Physicians (except Mental Health Specialists),13453
Insurance Agencies and Brokerages,13029
Child Day Care Services,12854
Other Activities Related to Real Estate,12359
Other Personal Care Services,11915
"Specialized Freight (except Used Goods) Trucking, Long-Distance",11460
Nail Salons,11220
Women's Clothing Stores,10608
Couriers and Express Delivery Services,10052
All Other Business Support Services,9825
"Cosmetics, Beauty Supplies, and Perfume Stores",9488
Mobile Food Services,9267
Food Service Contractors,8722
Graphic Design Services,7912
Wholesale Trade Agents and Brokers,7536
Local Messengers and Local Delivery,7523
NA,7004
All Other Specialty Trade Contractors,6824
"Plumbing, Heating, and Air-Conditioning Contractors",6571
Dairy Cattle and Milk Production,6350
Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,6259
General Automotive Repair,5961
Sales Financing,5847
All Other Outpatient Care Centers,5790
Office Administrative Services,5657
Carpet and Upholstery Cleaning Services,5656
All Other Transit and Ground Passenger Transportation,5462
Commercial and Institutional Building Construction,5406
Men's Clothing Stores,5201
Interior Design Services,5150
Freight Transportation Arrangement,5066
Tax Preparation Services,5033
All Other Miscellaneous Crop Farming,5018
Business Associations,4975
Other Direct Selling Establishments,4948
"Photography Studios, Portrait",4947
"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",4917
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",4818
Painting and Wall Covering Contractors,4753
"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",4730
Offices of All Other Miscellaneous Health Practitioners,4587
Musical Groups and Artists,4489
"Specialized Freight (except Used Goods) Trucking, Local",4444
Full-Service Restaurants,4358
Electrical Contractors and Other Wiring Installation Contractors,4326
Used Car Dealers,4307
Other Performing Arts Companies,4289
Cosmetology and Barber Schools,4288
Investment Advice,4283
Wheat Farming,4269
Other Accounting Services,4230
Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,4162
Educational Support Services,4136
Offices of Dentists,4059
Clothing Accessories Stores,4051
Other Scientific and Technical Consulting Services,4034
All Other Traveler Accommodation,3972
Car Washes,3918
Electronic Shopping and Mail-Order Houses,3794
Engineering Services,3699
Other Automotive Mechanical and Electrical Repair and Maintenance,3688
Limousine Service,3670
Roofing Contractors,3625
Other Miscellaneous Durable Goods Merchant Wholesalers,3400
Other Clothing Stores,3156
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",3135
Fitness and Recreational Sports Centers,3102
Residential Property Managers,3102
Custom Computer Programming Services,3086
Offices of Mental Health Practitioners (except Physicians),3068
Motion Picture and Video Production,3016
Broilers and Other Meat Type Chicken Production,3014
Family Clothing Stores,2982
Hog and Pig Farming,2935
Miscellaneous Financial Investment Activities,2932
